steps,reward
2000.0,-31.01
4000.0,-30.19
6000.0,-30.76
8000.0,-30.61
10000.0,-27.93
12000.0,-29.73
14000.0,-23.81
16000.0,-27.14
18000.0,-28.79
20000.0,-26.63
22000.0,-33.82
24000.0,-29.32
26000.0,-26.11
28000.0,-29.66
30000.0,-32.07
32000.0,-27.99
34000.0,-24.12
36000.0,-25.01
38000.0,-21.48
40000.0,-27.99
42000.0,-30.84
44000.0,-16.67
46000.0,-29.47
48000.0,-14.65
50000.0,-16.37
52000.0,-26.15
54000.0,-26.76
56000.0,-30.22
58000.0,-19.34
60000.0,-28.09
62000.0,-16.22
64000.0,-20.69
66000.0,-25.1
68000.0,-24.24
70000.0,-25.31
72000.0,-6.91
74000.0,-18.67
76000.0,-20.1
78000.0,-13.23
80000.0,-26.76
82000.0,-24.21
84000.0,-24.81
86000.0,-3.28
88000.0,10.92
90000.0,6.83
92000.0,4.62
94000.0,-5.52
96000.0,4.21
98000.0,0.84
100000.0,7.26
102000.0,5.52
104000.0,2.81
106000.0,8.2
108000.0,7.76
110000.0,3.83
112000.0,-0.88
114000.0,3.21
116000.0,8.17
118000.0,10.82
120000.0,12.31
122000.0,-1.28
124000.0,13.68
126000.0,8.05
128000.0,6.02
130000.0,7.06
132000.0,7.8
134000.0,12.16
136000.0,11.79
138000.0,5.72
140000.0,16.88
142000.0,8.96
144000.0,7.84
146000.0,8.18
148000.0,4.95
150000.0,16.53
152000.0,15.66
154000.0,11.77
156000.0,17.7
158000.0,11.58
160000.0,7.41
162000.0,14.72
164000.0,12.07
166000.0,18.58
168000.0,15.85
170000.0,14.3
172000.0,10.52
174000.0,11.7
176000.0,10.14
178000.0,14.8
180000.0,16.99
182000.0,13.51
184000.0,14.89
186000.0,18.49
188000.0,4.85
190000.0,-21.99
192000.0,-35.65
194000.0,-16.47
196000.0,2.54
198000.0,16.53
200000.0,17.08
202000.0,12.31
204000.0,15.54
206000.0,14.29
208000.0,15.74
210000.0,9.77
212000.0,11.66
214000.0,16.45
216000.0,14.51
218000.0,15.84
220000.0,15.27
222000.0,5.1
224000.0,8.84
226000.0,7.93
228000.0,16.11
230000.0,15.09
232000.0,17.64
234000.0,15.49
236000.0,11.97
238000.0,15.17
240000.0,15.98
242000.0,7.2
244000.0,15.16
246000.0,12.6
248000.0,17.61
250000.0,20.4
252000.0,15.21
254000.0,13.15
256000.0,10.6
258000.0,5.92
260000.0,-4.53
262000.0,-4.99
264000.0,-21.09
266000.0,-1.97
268000.0,15.84
270000.0,17.79
272000.0,11.94
274000.0,8.85
276000.0,17.4
278000.0,1.31
280000.0,-20.63
282000.0,-9.68
284000.0,0.5
286000.0,16.1
288000.0,14.8
290000.0,18.23
292000.0,15.99
294000.0,15.12
296000.0,14.07
298000.0,13.52
300000.0,13.2
302000.0,17.77
304000.0,14.74
306000.0,13.58
308000.0,14.66
310000.0,12.54
312000.0,15.53
314000.0,11.97
316000.0,16.37
318000.0,15.25
320000.0,12.52
322000.0,18.65
324000.0,12.73
326000.0,18.35
328000.0,-5.05
330000.0,-3.65
332000.0,-6.39
334000.0,-19.72
336000.0,16.23
338000.0,19.45
340000.0,14.2
342000.0,3.53
344000.0,17.68
346000.0,15.94
348000.0,17.54
350000.0,16.71
352000.0,9.8
354000.0,10.77
356000.0,14.51
358000.0,8.27
360000.0,14.89
362000.0,18.58
364000.0,16.55
366000.0,13.26
368000.0,0.8
370000.0,11.79
372000.0,15.26
374000.0,17.66
376000.0,15.58
378000.0,14.99
380000.0,10.28
382000.0,16.01
384000.0,13.39
386000.0,-2.39
388000.0,16.17
390000.0,15.64
392000.0,15.2
394000.0,14.56
396000.0,18.25
398000.0,15.31
400000.0,15.14
402000.0,14.78
404000.0,12.0
406000.0,16.91
408000.0,9.03
410000.0,5.7
412000.0,17.74
414000.0,13.47
416000.0,1.9
418000.0,-1.9
420000.0,1.07
422000.0,11.48
424000.0,15.0
426000.0,19.56
428000.0,17.39
430000.0,12.65
432000.0,14.26
434000.0,10.24
436000.0,16.95
438000.0,13.54
440000.0,11.46
442000.0,11.95
444000.0,18.19
446000.0,12.71
448000.0,4.53
450000.0,-6.13
452000.0,-1.22
454000.0,8.19
456000.0,18.39
458000.0,13.13
460000.0,10.64
462000.0,15.7
464000.0,7.8
466000.0,16.02
468000.0,12.7
470000.0,-20.72
472000.0,-14.53
474000.0,13.13
476000.0,15.71
478000.0,9.72
480000.0,11.34
482000.0,13.0
484000.0,7.18
486000.0,13.48
488000.0,-3.99
490000.0,13.63
492000.0,1.58
494000.0,16.51
496000.0,-13.3
498000.0,10.2
500000.0,10.7
502000.0,12.66
504000.0,18.42
506000.0,14.6
508000.0,12.2
510000.0,11.34
512000.0,14.12
514000.0,11.87
516000.0,8.15
518000.0,15.78
520000.0,12.16
522000.0,12.1
524000.0,12.21
526000.0,16.28
528000.0,4.57
530000.0,17.82
532000.0,20.0
534000.0,8.67
536000.0,17.57
538000.0,14.08
540000.0,15.2
542000.0,4.92
544000.0,9.0
546000.0,15.68
548000.0,13.15
550000.0,14.4
552000.0,11.32
554000.0,12.82
556000.0,17.87
558000.0,17.2
560000.0,8.34
562000.0,15.85
564000.0,13.4
566000.0,17.68
568000.0,15.77
570000.0,7.82
572000.0,11.43
574000.0,13.01
576000.0,6.78
578000.0,14.24
580000.0,18.42
582000.0,14.81
584000.0,10.8
586000.0,15.31
588000.0,15.21
590000.0,15.28
592000.0,18.34
594000.0,13.78
596000.0,12.98
598000.0,8.05
600000.0,3.21
602000.0,-19.45
604000.0,-9.16
606000.0,-4.63
608000.0,4.94
610000.0,12.52
612000.0,15.45
614000.0,21.15
616000.0,12.0
618000.0,13.69
620000.0,12.8
622000.0,14.77
624000.0,14.48
626000.0,3.35
628000.0,12.57
630000.0,13.29
632000.0,16.15
634000.0,12.82
636000.0,9.35
638000.0,13.9
640000.0,10.16
642000.0,7.08
644000.0,19.75
646000.0,17.27
648000.0,9.83
650000.0,16.8
652000.0,8.12
654000.0,-24.67
656000.0,-18.48
658000.0,-13.08
660000.0,10.52
662000.0,7.09
664000.0,11.18
666000.0,17.67
668000.0,12.86
670000.0,-4.41
672000.0,4.17
674000.0,15.45
676000.0,12.65
678000.0,17.72
680000.0,16.28
682000.0,9.69
684000.0,18.76
686000.0,14.63
688000.0,8.39
690000.0,11.56
692000.0,14.03
694000.0,17.47
696000.0,16.34
698000.0,15.53
700000.0,17.16
702000.0,0.77
704000.0,4.81
706000.0,5.85
708000.0,16.85
710000.0,14.77
712000.0,17.09
714000.0,16.02
716000.0,14.06
718000.0,12.07
720000.0,13.67
722000.0,18.56
724000.0,18.96
726000.0,17.45
728000.0,16.6
730000.0,11.3
732000.0,11.96
734000.0,10.14
736000.0,2.27
738000.0,20.24
740000.0,11.89
742000.0,15.08
744000.0,17.26
746000.0,-13.12
748000.0,17.08
750000.0,11.92
752000.0,15.75
754000.0,12.58
756000.0,19.28
758000.0,16.39
760000.0,7.81
762000.0,17.45
764000.0,18.2
766000.0,15.26
768000.0,3.62
770000.0,18.38
772000.0,17.02
774000.0,20.45
776000.0,19.17
778000.0,11.3
780000.0,14.6
782000.0,13.89
784000.0,13.18
786000.0,10.75
788000.0,14.84
790000.0,16.19
792000.0,10.15
794000.0,20.54
796000.0,11.3
798000.0,13.06
800000.0,16.69
